"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R22,R57,R32,R31,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"0R";;;
2;"R43,R54,R28,R13,R3,R19,R24,R40,R41,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"5k1";;;
3;"U3";"SOT-23-5";1;"XC6220B331MR";;;
4;"D3,D4";"D_SOD-123";2;"MBR0520";;;
5;"R33,R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2k7";;;
6;"F1,F2";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10A / 24V";;;
7;"C9,C8,C10,C13,C5,C11,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"0.1uF";;;
8;"J3";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";1;"Screw_Terminal_01x04";;;
9;"D1,D2";"D_SMA";2;"MBR0520";;;
10;"R8,R11,R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100k";;;
11;"J4";"Molex_CLIK-Mate_502494-0870_1x08-1MP_P2.00mm_Horizontal";1;"Conn_01x08_MountingPin";;;
12;"C3,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
13;"R51,R9,R65,R62,R49,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
14;"J2";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"TP4,TP3,TP1,TP2";"TestPoint_Pad_1.5x1.5mm";4;"TestPoint_Probe";;;
16;"D5";"D_SMA";1;"SS1200";;;
17;"J8,J9";"PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left";2;"Conn_01x07";;;
18;"U7";"DFN-8-1EP_3x3mm_P0.5mm_EP1.66x2.38mm";1;"LTC2943IDD#TRPBF";;;
19;"U8,U4";"SOT-23-5";2;"MAX40200AUK";;;
20;"U1";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias";1;"TPS62140";;;
21;"U2,U6";"SOT-23-5";2;"BD5230G-TR";;;
22;"RN4,RN2,RN3";"R_Array_Convex_4x0603";3;"10k";;;
23;"Q7,Q3,Q12,Q11,Q9,Q5";"SOT-23";6;"BC847";;;
24;"Q1,Q13";"Vishay_PowerPAK_1212-8_Single";2;"SiS415DNT";;;
25;"J1";"JST_XH_S3B-XH-SM4-TB_1x03-1MP_P2.50mm_Horizontal";1;"Conn_01x03_MountingPin";;;
26;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
27;"J7";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x03";;;
28;"U5";"DIP-8_W7.62mm";1;"LM555xN";;;
29;"R52";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"10mR";;;
30;"L1";"L_1008_2520Metric_Pad1.43x2.20mm_HandSolder";1;"2.2uH";;;
31;"RN1";"R_Array_Concave_4x0603";1;"120";;;
32;"R46";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"110R";;;
33;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.33uF";;;
34;"J6";"Molex_CLIK-Mate_502494-0370_1x03-1MP_P2.00mm_Horizontal";1;"Conn_01x03_MountingPin";;;
35;"M2";"USBC_charger";1;"~";;;
36;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"680pF";;;
37;"J5";"Molex_CLIK-Mate_502494-0470_1x04-1MP_P2.00mm_Horizontal";1;"Conn_01x04_MountingPin";;;
38;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
39;"M1";"RF_controller";1;"~";;;
40;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"560k";;;
